instant,dteday,season,year,month,hours,holiday,one_of_week,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,category_days,humidity_category
52,2011-01-03,1,0,1,6,0,1,1,0.14,0.1061,0.5,0.3881,0,30,30,weekdays,Terlalu kering
53,2011-01-03,1,0,1,7,0,1,1,0.14,0.1364,0.5,0.194,1,63,64,weekdays,Terlalu kering
54,2011-01-03,1,0,1,8,0,1,1,0.14,0.1212,0.5,0.2836,1,153,154,weekdays,Terlalu kering
55,2011-01-03,1,0,1,9,0,1,1,0.16,0.1364,0.43,0.3881,7,81,88,weekdays,Terlalu kering
56,2011-01-03,1,0,1,10,0,1,1,0.18,0.1667,0.43,0.2537,11,33,44,weekdays,Terlalu kering
57,2011-01-03,1,0,1,11,0,1,1,0.2,0.1818,0.4,0.3284,10,41,51,weekdays,Terlalu kering
58,2011-01-03,1,0,1,12,0,1,1,0.22,0.2121,0.35,0.2985,13,48,61,weekdays,Terlalu kering
59,2011-01-03,1,0,1,13,0,1,1,0.24,0.2121,0.35,0.2836,8,53,61,weekdays,Terlalu kering
60,2011-01-03,1,0,1,14,0,1,1,0.26,0.2424,0.3,0.2836,11,66,77,weekdays,Terlalu kering
61,2011-01-03,1,0,1,15,0,1,1,0.26,0.2424,0.3,0.2537,14,58,72,weekdays,Terlalu kering
62,2011-01-03,1,0,1,16,0,1,1,0.26,0.2424,0.3,0.2537,9,67,76,weekdays,Terlalu kering
63,2011-01-03,1,0,1,17,0,1,1,0.24,0.2273,0.3,0.2239,11,146,157,weekdays,Terlalu kering
64,2011-01-03,1,0,1,18,0,1,1,0.24,0.2576,0.32,0.1045,9,148,157,weekdays,Terlalu kering
65,2011-01-03,1,0,1,19,0,1,1,0.2,0.2576,0.47,0.0,8,102,110,weekdays,Terlalu kering
66,2011-01-03,1,0,1,20,0,1,1,0.2,0.2273,0.47,0.1045,3,49,52,weekdays,Terlalu kering
67,2011-01-03,1,0,1,21,0,1,1,0.18,0.197,0.64,0.1343,3,49,52,weekdays,Terlalu kering
68,2011-01-03,1,0,1,22,0,1,1,0.14,0.1515,0.69,0.1343,0,20,20,weekdays,Terlalu kering
69,2011-01-03,1,0,1,23,0,1,1,0.18,0.2121,0.55,0.1045,1,11,12,weekdays,Terlalu kering
70,2011-01-04,1,0,1,0,0,2,1,0.16,0.1818,0.55,0.1045,0,5,5,weekdays,Terlalu kering
71,2011-01-04,1,0,1,1,0,2,1,0.16,0.1818,0.59,0.1045,0,2,2,weekdays,Terlalu kering
72,2011-01-04,1,0,1,2,0,2,1,0.14,0.1515,0.63,0.1343,0,1,1,weekdays,Terlalu kering
73,2011-01-04,1,0,1,4,0,2,1,0.14,0.1818,0.63,0.0896,0,2,2,weekdays,Terlalu kering
74,2011-01-04,1,0,1,5,0,2,1,0.12,0.1515,0.68,0.1045,0,4,4,weekdays,Terlalu kering
75,2011-01-04,1,0,1,6,0,2,1,0.12,0.1515,0.74,0.1045,0,36,36,weekdays,Terlalu kering
76,2011-01-04,1,0,1,7,0,2,1,0.12,0.1515,0.74,0.1343,2,92,94,weekdays,Terlalu kering
77,2011-01-04,1,0,1,8,0,2,1,0.14,0.1515,0.69,0.1642,2,177,179,weekdays,Terlalu kering
78,2011-01-04,1,0,1,9,0,2,1,0.16,0.1515,0.64,0.2239,2,98,100,weekdays,Terlalu kering
79,2011-01-04,1,0,1,10,0,2,2,0.16,0.1364,0.69,0.3284,5,37,42,weekdays,Terlalu kering
80,2011-01-04,1,0,1,11,0,2,1,0.22,0.2121,0.51,0.2985,7,50,57,weekdays,Terlalu kering
81,2011-01-04,1,0,1,12,0,2,1,0.22,0.2273,0.51,0.1642,12,66,78,weekdays,Terlalu kering
82,2011-01-04,1,0,1,13,0,2,1,0.24,0.2273,0.56,0.194,18,79,97,weekdays,Terlalu kering
83,2011-01-04,1,0,1,14,0,2,1,0.26,0.2576,0.52,0.2239,9,54,63,weekdays,Terlalu kering
84,2011-01-04,1,0,1,15,0,2,1,0.28,0.2727,0.52,0.2537,17,48,65,weekdays,Terlalu kering
85,2011-01-04,1,0,1,16,0,2,1,0.3,0.2879,0.49,0.2537,15,68,83,weekdays,Terlalu kering
86,2011-01-04,1,0,1,17,0,2,1,0.28,0.2727,0.48,0.2239,10,202,212,weekdays,Terlalu kering
87,2011-01-04,1,0,1,18,0,2,1,0.26,0.2576,0.48,0.194,3,179,182,weekdays,Terlalu kering
88,2011-01-04,1,0,1,19,0,2,1,0.24,0.2576,0.48,0.1045,2,110,112,weekdays,Terlalu kering
89,2011-01-04,1,0,1,20,0,2,1,0.24,0.2576,0.48,0.1045,1,53,54,weekdays,Terlalu kering
90,2011-01-04,1,0,1,21,0,2,1,0.22,0.2727,0.64,0.0,0,48,48,weekdays,Terlalu kering
91,2011-01-04,1,0,1,22,0,2,1,0.22,0.2576,0.64,0.0896,1,34,35,weekdays,Terlalu kering
92,2011-01-04,1,0,1,23,0,2,1,0.2,0.2273,0.69,0.0896,2,9,11,weekdays,Terlalu kering
93,2011-01-05,1,0,1,0,0,3,1,0.2,0.2576,0.64,0.0,0,6,6,weekdays,Terlalu kering
94,2011-01-05,1,0,1,1,0,3,1,0.16,0.197,0.74,0.0896,0,6,6,weekdays,Terlalu kering
95,2011-01-05,1,0,1,2,0,3,1,0.16,0.197,0.74,0.0896,0,2,2,weekdays,Terlalu kering
96,2011-01-05,1,0,1,4,0,3,1,0.24,0.2273,0.48,0.2239,0,2,2,weekdays,Terlalu kering
97,2011-01-05,1,0,1,5,0,3,1,0.22,0.2273,0.47,0.1642,0,3,3,weekdays,Terlalu kering
98,2011-01-05,1,0,1,6,0,3,1,0.2,0.197,0.47,0.2239,0,33,33,weekdays,Terlalu kering
99,2011-01-05,1,0,1,7,0,3,1,0.18,0.1818,0.43,0.194,1,87,88,weekdays,Terlalu kering
100,2011-01-05,1,0,1,8,0,3,1,0.2,0.1818,0.4,0.2985,3,192,195,weekdays,Terlalu kering
101,2011-01-05,1,0,1,9,0,3,1,0.22,0.197,0.37,0.3284,6,109,115,weekdays,Terlalu kering
102,2011-01-05,1,0,1,10,0,3,1,0.22,0.197,0.37,0.3284,4,53,57,weekdays,Terlalu kering
103,2011-01-05,1,0,1,11,0,3,1,0.26,0.2273,0.33,0.3284,12,34,46,weekdays,Terlalu kering
104,2011-01-05,1,0,1,12,0,3,1,0.26,0.2273,0.33,0.3284,5,74,79,weekdays,Terlalu kering
105,2011-01-05,1,0,1,13,0,3,1,0.28,0.2576,0.3,0.2985,6,65,71,weekdays,Terlalu kering
106,2011-01-05,1,0,1,14,0,3,1,0.3,0.2879,0.28,0.194,10,52,62,weekdays,Terlalu kering
107,2011-01-05,1,0,1,15,0,3,1,0.3,0.2879,0.28,0.194,7,55,62,weekdays,Terlalu kering
108,2011-01-05,1,0,1,16,0,3,1,0.3,0.3182,0.28,0.0896,4,85,89,weekdays,Terlalu kering
109,2011-01-05,1,0,1,17,0,3,1,0.24,0.2273,0.38,0.194,4,186,190,weekdays,Terlalu kering
110,2011-01-05,1,0,1,18,0,3,1,0.24,0.2424,0.38,0.1343,3,166,169,weekdays,Terlalu kering
111,2011-01-05,1,0,1,19,0,3,1,0.24,0.2576,0.38,0.1045,5,127,132,weekdays,Terlalu kering
112,2011-01-05,1,0,1,20,0,3,1,0.22,0.2273,0.47,0.1642,7,82,89,weekdays,Terlalu kering
113,2011-01-05,1,0,1,21,0,3,1,0.2,0.197,0.51,0.194,3,40,43,weekdays,Terlalu kering
114,2011-01-05,1,0,1,22,0,3,1,0.18,0.197,0.55,0.1343,1,41,42,weekdays,Terlalu kering
115,2011-01-05,1,0,1,23,0,3,1,0.2,0.2576,0.47,0.0,1,18,19,weekdays,Terlalu kering
116,2011-01-06,1,0,1,0,0,4,1,0.18,0.2424,0.55,0.0,0,11,11,weekdays,Terlalu kering
117,2011-01-06,1,0,1,1,0,4,1,0.16,0.2273,0.64,0.0,0,4,4,weekdays,Terlalu kering
118,2011-01-06,1,0,1,2,0,4,1,0.16,0.2273,0.64,0.0,0,2,2,weekdays,Terlalu kering
119,2011-01-06,1,0,1,4,0,4,2,0.16,0.197,0.64,0.0896,0,1,1,weekdays,Terlalu kering
120,2011-01-06,1,0,1,5,0,4,2,0.14,0.1818,0.69,0.0896,0,4,4,weekdays,Terlalu kering
121,2011-01-06,1,0,1,6,0,4,2,0.14,0.1667,0.63,0.1045,0,36,36,weekdays,Terlalu kering
122,2011-01-06,1,0,1,7,0,4,2,0.16,0.2273,0.59,0.0,0,95,95,weekdays,Terlalu kering
123,2011-01-06,1,0,1,8,0,4,1,0.16,0.2273,0.59,0.0,3,216,219,weekdays,Terlalu kering
124,2011-01-06,1,0,1,9,0,4,2,0.18,0.2424,0.51,0.0,6,116,122,weekdays,Terlalu kering
125,2011-01-06,1,0,1,10,0,4,1,0.2,0.2576,0.47,0.0,3,42,45,weekdays,Terlalu kering
126,2011-01-06,1,0,1,11,0,4,1,0.22,0.2576,0.44,0.0896,2,57,59,weekdays,Terlalu kering
127,2011-01-06,1,0,1,12,0,4,1,0.26,0.2879,0.35,0.0,6,78,84,weekdays,Terlalu kering
128,2011-01-06,1,0,1,13,0,4,1,0.26,0.2727,0.35,0.1045,12,55,67,weekdays,Terlalu kering
129,2011-01-06,1,0,1,14,0,4,1,0.28,0.2727,0.36,0.1642,11,59,70,weekdays,Terlalu kering
130,2011-01-06,1,0,1,15,0,4,1,0.28,0.2727,0.36,0.0,8,54,62,weekdays,Terlalu kering
131,2011-01-06,1,0,1,16,0,4,1,0.26,0.2576,0.38,0.1642,12,74,86,weekdays,Terlalu kering
132,2011-01-06,1,0,1,17,0,4,1,0.22,0.2273,0.51,0.1642,9,163,172,weekdays,Terlalu kering
133,2011-01-06,1,0,1,18,0,4,1,0.22,0.2273,0.51,0.1343,5,158,163,weekdays,Terlalu kering
134,2011-01-06,1,0,1,19,0,4,1,0.22,0.2576,0.55,0.0896,3,109,112,weekdays,Terlalu kering
135,2011-01-06,1,0,1,20,0,4,1,0.2,0.2121,0.51,0.1642,3,66,69,weekdays,Terlalu kering
136,2011-01-06,1,0,1,21,0,4,2,0.22,0.2121,0.55,0.2239,0,48,48,weekdays,Terlalu kering
137,2011-01-06,1,0,1,22,0,4,2,0.22,0.2121,0.51,0.2836,1,51,52,weekdays,Terlalu kering
138,2011-01-06,1,0,1,23,0,4,2,0.2,0.197,0.59,0.194,4,19,23,weekdays,Terlalu kering
139,2011-01-07,1,0,1,0,0,5,2,0.2,0.197,0.64,0.194,4,13,17,weekdays,Terlalu kering
140,2011-01-07,1,0,1,1,0,5,2,0.2,0.197,0.69,0.2239,2,5,7,weekdays,Terlalu kering
141,2011-01-07,1,0,1,2,0,5,2,0.2,0.197,0.69,0.2239,0,1,1,weekdays,Terlalu kering
142,2011-01-07,1,0,1,4,0,5,2,0.2,0.2121,0.69,0.1343,0,1,1,weekdays,Terlalu kering
143,2011-01-07,1,0,1,5,0,5,3,0.22,0.2727,0.55,0.0,0,5,5,weekdays,Terlalu kering
144,2011-01-07,1,0,1,6,0,5,2,0.2,0.2576,0.69,0.0,8,26,34,weekdays,Terlalu kering
145,2011-01-07,1,0,1,7,0,5,1,0.2,0.2121,0.69,0.1343,8,76,84,weekdays,Terlalu kering
146,2011-01-07,1,0,1,8,0,5,1,0.2,0.197,0.51,0.2537,20,190,210,weekdays,Terlalu kering
147,2011-01-07,1,0,1,9,0,5,1,0.2,0.1818,0.47,0.2985,9,125,134,weekdays,Terlalu kering
148,2011-01-07,1,0,1,10,0,5,1,0.22,0.197,0.37,0.3284,16,47,63,weekdays,Terlalu kering
149,2011-01-07,1,0,1,11,0,5,2,0.2,0.197,0.4,0.2239,19,48,67,weekdays,Terlalu kering
150,2011-01-07,1,0,1,12,0,5,2,0.2,0.197,0.37,0.2537,9,50,59,weekdays,Terlalu kering
151,2011-01-07,1,0,1,13,0,5,2,0.2,0.1818,0.37,0.2836,9,64,73,weekdays,Terlalu kering
152,2011-01-07,1,0,1,14,0,5,2,0.2,0.197,0.4,0.2537,7,43,50,weekdays,Terlalu kering
153,2011-01-07,1,0,1,15,0,5,2,0.2,0.2121,0.37,0.1642,9,63,72,weekdays,Terlalu kering
154,2011-01-07,1,0,1,16,0,5,2,0.2,0.2121,0.37,0.1642,5,82,87,weekdays,Terlalu kering
155,2011-01-07,1,0,1,17,0,5,2,0.2,0.2576,0.37,0.0,9,178,187,weekdays,Terlalu kering
156,2011-01-07,1,0,1,18,0,5,1,0.2,0.2273,0.4,0.0896,7,116,123,weekdays,Terlalu kering
157,2011-01-07,1,0,1,19,0,5,1,0.16,0.197,0.55,0.0896,3,92,95,weekdays,Terlalu kering
158,2011-01-07,1,0,1,20,0,5,1,0.18,0.2121,0.47,0.1045,1,50,51,weekdays,Terlalu kering
159,2011-01-07,1,0,1,21,0,5,1,0.18,0.197,0.47,0.1343,0,39,39,weekdays,Terlalu kering
160,2011-01-07,1,0,1,22,0,5,2,0.18,0.197,0.43,0.1642,2,34,36,weekdays,Terlalu kering
161,2011-01-07,1,0,1,23,0,5,2,0.18,0.197,0.51,0.1642,1,14,15,weekdays,Terlalu kering
162,2011-01-08,1,0,1,0,0,6,2,0.18,0.197,0.51,0.1642,1,24,25,weekdays,Terlalu kering
163,2011-01-08,1,0,1,1,0,6,2,0.18,0.2121,0.55,0.0896,1,15,16,weekdays,Terlalu kering
164,2011-01-08,1,0,1,2,0,6,2,0.18,0.2424,0.55,0.0,3,13,16,weekdays,Terlalu kering
165,2011-01-08,1,0,1,3,0,6,3,0.18,0.197,0.55,0.1642,0,7,7,weekdays,Terlalu kering
166,2011-01-08,1,0,1,4,0,6,3,0.18,0.197,0.55,0.1642,0,1,1,weekdays,Terlalu kering
167,2011-01-08,1,0,1,5,0,6,2,0.16,0.1667,0.74,0.1642,0,5,5,weekdays,Terlalu kering
168,2011-01-08,1,0,1,6,0,6,2,0.16,0.1667,0.74,0.1642,0,2,2,weekdays,Terlalu kering
169,2011-01-08,1,0,1,7,0,6,2,0.16,0.1818,0.74,0.1045,1,8,9,weekdays,Terlalu kering
170,2011-01-08,1,0,1,8,0,6,3,0.16,0.1818,0.93,0.1045,0,15,15,weekdays,Terlalu kering
171,2011-01-08,1,0,1,9,0,6,3,0.16,0.1818,0.93,0.1045,0,20,20,weekdays,Terlalu kering
172,2011-01-08,1,0,1,10,0,6,2,0.18,0.197,0.8,0.1642,5,56,61,weekdays,Terlalu kering
173,2011-01-08,1,0,1,11,0,6,2,0.2,0.1818,0.69,0.3881,2,60,62,weekdays,Terlalu kering
174,2011-01-08,1,0,1,12,0,6,2,0.2,0.1818,0.59,0.3582,8,90,98,weekdays,Terlalu kering
175,2011-01-08,1,0,1,13,0,6,1,0.2,0.1818,0.44,0.3284,7,95,102,weekdays,Terlalu kering
176,2011-01-08,1,0,1,14,0,6,1,0.2,0.1667,0.32,0.4925,12,83,95,weekdays,Terlalu kering
177,2011-01-08,1,0,1,15,0,6,1,0.2,0.1667,0.32,0.4478,5,69,74,weekdays,Terlalu kering
178,2011-01-08,1,0,1,16,0,6,1,0.18,0.1364,0.29,0.4478,8,68,76,weekdays,Terlalu kering
179,2011-01-08,1,0,1,17,0,6,1,0.16,0.1212,0.37,0.5522,5,64,69,weekdays,Terlalu kering
180,2011-01-08,1,0,1,18,0,6,1,0.14,0.1212,0.39,0.2985,3,52,55,weekdays,Terlalu kering
181,2011-01-08,1,0,1,19,0,6,1,0.14,0.1212,0.36,0.2537,4,26,30,weekdays,Terlalu kering
182,2011-01-08,1,0,1,20,0,6,1,0.12,0.1212,0.36,0.2537,0,28,28,weekdays,Terlalu kering
183,2011-01-08,1,0,1,21,0,6,1,0.12,0.1061,0.39,0.3582,2,35,37,weekdays,Terlalu kering
184,2011-01-08,1,0,1,22,0,6,1,0.12,0.1061,0.36,0.3881,1,33,34,weekdays,Terlalu kering
185,2011-01-08,1,0,1,23,0,6,1,0.1,0.0606,0.39,0.4478,0,22,22,weekdays,Terlalu kering
186,2011-01-09,1,0,1,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,weekdays,Terlalu kering
187,2011-01-09,1,0,1,1,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,weekdays,Terlalu kering
188,2011-01-09,1,0,1,2,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,weekdays,Terlalu kering
189,2011-01-09,1,0,1,3,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,weekdays,Terlalu kering
190,2011-01-09,1,0,1,4,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,weekdays,Terlalu kering
191,2011-01-09,1,0,1,5,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,weekdays,Terlalu kering
192,2011-01-09,1,0,1,6,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,weekdays,Terlalu kering
193,2011-01-09,1,0,1,7,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,weekdays,Terlalu kering
194,2011-01-09,1,0,1,8,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,weekdays,Terlalu kering
195,2011-01-09,1,0,1,9,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,weekdays,Terlalu kering
196,2011-01-09,1,0,1,10,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,weekdays,Terlalu kering
197,2011-01-09,1,0,1,11,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,weekdays,Terlalu kering
198,2011-01-09,1,0,1,12,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,weekdays,Terlalu kering
199,2011-01-09,1,0,1,13,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,weekdays,Terlalu kering
200,2011-01-09,1,0,1,14,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,weekdays,Terlalu kering
201,2011-01-09,1,0,1,15,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,weekdays,Terlalu kering
202,2011-01-09,1,0,1,16,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,weekdays,Terlalu kering
203,2011-01-09,1,0,1,17,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,weekdays,Terlalu kering
204,2011-01-09,1,0,1,18,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,weekdays,Terlalu kering
205,2011-01-09,1,0,1,19,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,weekdays,Terlalu kering
206,2011-01-09,1,0,1,20,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,weekdays,Terlalu kering
207,2011-01-09,1,0,1,21,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,weekdays,Terlalu kering
208,2011-01-09,1,0,1,22,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,weekdays,Terlalu kering
209,2011-01-09,1,0,1,23,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,weekdays,Terlalu kering
210,2011-01-10,1,0,1,0,0,1,1,0.12,0.1212,0.5,0.2836,2,3,5,weekdays,Terlalu kering
211,2011-01-10,1,0,1,1,0,1,1,0.12,0.1212,0.5,0.2836,1,0,1,weekdays,Terlalu kering
212,2011-01-10,1,0,1,2,0,1,1,0.12,0.1212,0.5,0.2239,0,3,3,weekdays,Terlalu kering
213,2011-01-10,1,0,1,3,0,1,1,0.12,0.1212,0.5,0.2239,0,1,1,weekdays,Terlalu kering
214,2011-01-10,1,0,1,4,0,1,1,0.1,0.1212,0.54,0.1343,1,2,3,weekdays,Terlalu kering
215,2011-01-10,1,0,1,5,0,1,1,0.1,0.1061,0.54,0.2537,0,3,3,weekdays,Terlalu kering
216,2011-01-10,1,0,1,6,0,1,1,0.12,0.1212,0.5,0.2836,0,31,31,weekdays,Terlalu kering
217,2011-01-10,1,0,1,7,0,1,1,0.12,0.1212,0.5,0.2239,2,75,77,weekdays,Terlalu kering
218,2011-01-10,1,0,1,8,0,1,2,0.12,0.1212,0.5,0.2836,4,184,188,weekdays,Terlalu kering
219,2011-01-10,1,0,1,9,0,1,2,0.14,0.1212,0.5,0.2537,2,92,94,weekdays,Terlalu kering
220,2011-01-10,1,0,1,10,0,1,2,0.14,0.1212,0.5,0.2985,0,31,31,weekdays,Terlalu kering
221,2011-01-10,1,0,1,11,0,1,2,0.16,0.1364,0.47,0.2836,2,28,30,weekdays,Terlalu kering
222,2011-01-10,1,0,1,12,0,1,2,0.2,0.1818,0.4,0.2836,5,47,52,weekdays,Terlalu kering
223,2011-01-10,1,0,1,13,0,1,2,0.2,0.1818,0.4,0.2836,4,50,54,weekdays,Terlalu kering
224,2011-01-10,1,0,1,14,0,1,2,0.2,0.197,0.4,0.2239,0,47,47,weekdays,Terlalu kering
225,2011-01-10,1,0,1,15,0,1,2,0.2,0.197,0.4,0.2239,2,43,45,weekdays,Terlalu kering
226,2011-01-10,1,0,1,16,0,1,1,0.2,0.2121,0.4,0.1343,4,70,74,weekdays,Terlalu kering
227,2011-01-10,1,0,1,17,0,1,1,0.2,0.2273,0.4,0.1045,4,174,178,weekdays,Terlalu kering
228,2011-01-10,1,0,1,18,0,1,1,0.2,0.197,0.4,0.2239,1,154,155,weekdays,Terlalu kering
229,2011-01-10,1,0,1,19,0,1,1,0.16,0.1667,0.47,0.1642,3,92,95,weekdays,Terlalu kering
230,2011-01-10,1,0,1,20,0,1,1,0.16,0.1667,0.5,0.1642,1,73,74,weekdays,Terlalu kering
231,2011-01-10,1,0,1,21,0,1,1,0.14,0.1364,0.59,0.194,1,37,38,weekdays,Terlalu kering
232,2011-01-10,1,0,1,22,0,1,1,0.14,0.1515,0.59,0.1642,2,22,24,weekdays,Terlalu kering
